,default,mean,std,weight
ContractAmountAll,,32985164.842967886,315072008.4653865,1.0
ContractsCount,,23.76230190380414,67.8904955559487,1.0
ProceduresCount,,49.89974685300135,155.77616513443138,1.0
customer_max_price,,113960582.14707546,1526493675.322866,1.0
SuspiciousFactsCount,,1.036324860422374,0.2565832340594107,-1.0
ContractAmountBad,,2413540.754533758,85320426.37162721,-1.0
ContractsCountBad,,0.35159690675174254,4.9016373687842405,-1.0
BadNewsCount,,0.7059506883517703,11.099254773063677,-1.0
ContractCountTerminationByCourt,,0.0018552554010472656,0.05045206620012349,-1.0
ContractCountTerminationByCustomer,,0.0958837604466484,0.5985748047963079,-1.0
ContractCountTerminationBySupplier,,0.003831882650761175,0.10617482782501042,-1.0
ComplaintsCount,,0.5344696050213268,3.5588002842638904,-1.0
